City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,sinop,41.7711,34.8709,43.0,97,100,3.89,TR,1735248324
307,jindabyne,-36.4167,148.6333,70.57,45,13,5.99,AU,1735248325
308,rongelap,11.1635,166.8941,81.19,69,100,22.03,MH,1735248326
309,nizhnyaya poyma,56.1622,97.1933,18.82,93,100,10.0,RU,1735248327
310,mount isa,-20.7333,139.5,83.97,74,3,6.91,AU,1735248328
311,belomorsk,64.5232,34.7668,34.54,75,6,14.88,RU,1735248330
312,seaside,36.6111,-121.8516,62.92,91,99,1.01,US,1735248332
313,yorosso,12.3536,-4.7761,74.46,13,100,7.65,ML,1735248333
314,lamu,-2.2717,40.902,78.15,83,100,10.83,KE,1735248334
315,sint michiel liber,12.15,-68.9833,85.82,66,20,11.5,CW,1735248141
316,lages,-27.8161,-50.3261,69.58,56,0,5.57,BR,1735248237
317,colonia,50.9333,6.95,39.9,93,0,2.3,DE,1735248258
318,port clinton,41.512,-82.9377,45.1,85,100,6.15,US,1735248340
319,umluj,25.0213,37.2685,66.92,51,0,4.94,SA,1735248343
320,susuman,62.7833,148.1667,-9.87,97,100,4.41,RU,1735248344
321,mahanoro,-19.9,48.8,75.43,83,31,4.34,MG,1735248345
322,tazacorte,28.629,-17.9293,63.57,63,0,8.05,ES,1735248346
323,atherton,53.5237,-2.4935,43.21,98,53,3.06,GB,1735248347
324,galesong,-5.3166,119.3661,79.57,83,97,6.67,ID,1735248349
325,heber city,40.5069,-111.4132,40.01,78,100,13.8,US,1735248350
326,hermanus,-34.4187,19.2345,67.8,87,9,6.62,ZA,1735248352
327,laem sing,12.4816,102.0738,76.17,70,6,9.28,TH,1735248354
328,oriximina,-1.7656,-55.8661,92.12,48,52,2.64,BR,1735248355
329,flin flon,54.7682,-101.865,19.24,100,75,3.44,CA,1735248356
330,saldanha,-33.0117,17.9442,64.45,94,62,11.23,ZA,1735248357
331,waliso,8.5333,37.9833,62.26,47,80,14.45,ET,1735248358
332,vinales,22.6164,-83.7078,76.14,74,100,6.73,CU,1735248359
333,ocean city,39.2776,-74.5746,39.11,64,7,1.01,US,1735248104
334,pavlodar,52.3,76.95,8.4,72,0,6.71,KZ,1735248362
335,peterhead,57.5058,-1.7981,44.87,93,100,14.27,GB,1735248363
336,manokwari,-0.8667,134.0833,79.21,82,100,2.04,ID,1735248364
337,port shepstone,-30.7414,30.455,74.25,86,100,21.23,ZA,1735248365
338,happy valley-goose bay,53.3168,-60.3315,25.11,74,75,4.61,CA,1735248366
339,luwuk,-0.9516,122.7875,73.74,82,100,1.14,ID,1735248367
340,al manaqil,14.2459,32.9891,73.6,26,42,9.33,SD,1735248369
341,kapshagay,43.8833,77.0833,24.98,80,100,9.51,KZ,1735248370
342,mao,39.8885,4.2658,48.76,76,20,8.05,ES,1735248371
343,kangding,30.0513,101.9603,39.24,50,0,6.24,CN,1735248372
344,placido de castro,-10.3353,-67.1856,90.99,37,70,3.83,BR,1735248373
345,contramaestre,20.2978,-76.2414,83.95,65,100,5.37,CU,1735248374
